Asignatura	Genero	Edad	Repeticiones	Masa corporal	Estatura	Carrera	Materias matriculadas	Zona.residencia	Estrato
Estadistica.I	Femenino	22	1.vez	51	1.57	Contaduría	4	Rural	4
Estadistica.I	Masculino	26	Ninguna	75	1.65	Comercio.Ext	6	Urbano	3
Estadistica.I	Femenino	22	1.vez	60	1.6	Comercio.Ext	7	Urbano	2
Estadistica.I	Femenino	17	1.vez	60	1.7	Administración	7	Urbano	4
Estadistica.I	Femenino	18	1.vez	N/A	N/A	Ing.Ambiental	5	Urbano	4
Estadistica.I	Femenino	19	Ninguna	53	1.56	Ing.Industrial	6	Urbano	3
Estadistica.I	Masculino	24	Ninguna	66	1.8	Ing.Industrial	6	Urbano	2
Estadistica.I	Femenino	23	Ninguna	64	1.61	Administración	7	Urbano	3
Estadistica.I	Femenino	18	Ninguna	50	1.5	Ing.Industrial	7	Rural	2
Estadistica.I	Femenino	16	Ninguna	54	1.6	Ing.Ambiental	7	Urbano	3
Estadistica.I	Femenino	19	Ninguna	54	1.5	Administración	7	Rural	2
Estadistica.I	Masculino	22	Ninguna	74	1.83	Administración	5	Urbano	3
Estadistica.I	Masculino	19	Ninguna	80	1.9	Comercio.Ext	5	Rural	4
Estadistica.I	Masculino	26	Ninguna	73	1.73	Administración	7	Urbano	2
Estadistica.I	Femenino	22	Ninguna	64	1.6	Administración	7	Rural	3
Bioestadistica.enfermeria	Femenino	25	Ninguna	60	1.57	Comercio.Ext	6	Rural	2
Estadistica.I	Femenino	19	Ninguna	58	1.62	Administración	7	Urbano	3
Estadistica.I	Femenino	17	Ninguna	50	1.63	Administración	7	Urbano	3
Estadistica.I	Masculino	31	Ninguna	68	1.75	Ing.Industrial	4	Rural	3
Estadistica.I	Femenino	24	Ninguna	64	1.72	Comercio.Ext	6	Urbano	3
Estadistica.I	Femenino	22	Ninguna	55	1.62	Administración	7	Urbano	3
Estadistica.I	Femenino	18	Ninguna	55	1.65	Administración	7	Urbano	3
Estadistica.I	Masculino	18	Ninguna	57	1.73	Ing.Sistemas	6	Urbano	2
Matematicas.II	Femenino	16	2.veces	54	1.6	Ing.Ambiental	7	Urbano	2
Diseño.Experimental	Femenino	22	Ninguna	49	1.59	Ing.Ambiental	5	Urbano	2
Estadistica.I	Masculino	18	Ninguna	68	1.75	Administración	7	Rural	1
Diseño.Experimental	Femenino	22	Ninguna	N/A	N/A	Ing.Ambiental	5	Rural	4
Estadistica.I	Femenino	18	Ninguna	52	1.64	Administración	7	Urbano	3
Estadistica.I	Masculino	19	Ninguna	N/A	N/A	Ing.Electronica	6	Rural	2
Diseño.Experimental	Masculino	25	Ninguna	71	1.67	Ing.Ambiental	6	Rural	1
Diseño.Experimental	Masculino	22	Ninguna	73	1.74	Ing.Ambiental	5	Urbano	2
Diseño.Experimental	Masculino	18	Ninguna	65	1.74	Ing.Ambiental	5	Urbano	2
Diseño.Experimental	Masculino	23	Ninguna	87	1.79	Ing.Ambiental	5	Urbano	3
Estadistica.I	Femenino	19	Ninguna	70	1.72	Comercio.Ext	6	Rural	2
Bioestadistica.enfermeria	Femenino	17	Ninguna	70	1.68	Enfermería	9	Urbano	2
Estadistica.I	Femenino	27	Ninguna	61	1.52	Enfermería	8	Urbano	3
Bioestadistica.enfermeria	Femenino	18	Ninguna	48	1.56	Enfermería	9	Urbano	3
Bioestadistica.enfermeria	Masculino	19	Ninguna	62	1.80	Enfermería	5	Urbano	3
Bioestadistica.enfermeria	Masculino	18	Ninguna	59	1.76	Enfermería	9	Rural	4
Bioestadistica.enfermeria	Femenino	18	Ninguna	54	1.56	Enfermería	8	Urbano	2
Bioestadistica.enfermeria	Femenino	19	Ninguna	60	1.5	Enfermería	7	Urbano	3
Estadistica.II	Masculino	19	Ninguna	68	1.75	Ing.Industrial	6	Urbano	2
Bioestadistica.enfermeria	Femenino	19	2.veces	58	1.75	Enfermería	6	Rural	1
Estadistica.I	Femenino	19	Ninguna	39	1.6	Ing.Ambiental	5	Urbano	2
Bioestadistica.enfermeria	Femenino	19	Ninguna	49	1.65	Enfermería	8	Urbano	3
Bioestadistica.enfermeria	Femenino	20	Ninguna	61	1.63	Enfermería	9	Urbano	3
Estadistica.I	Masculino	26	Ninguna	73	1.73	Administración	7	Urbano	2
Estadistica.II	Femenino	19	Ninguna	54	1.56	Ing.Industrial	6	Urbano	3
Estadistica.I	Femenino	18	Ninguna	50	1.5	Ing.Industrial	7	Rural	2
Bioestadistica.enfermeria	Femenino	18	Ninguna	57	1.63	Enfermería	8	Urbano	3
Bioestadistica.enfermeria	Femenino	18	Ninguna	54	1.55	Enfermería	8	Urbano	3
Bioestadistica.enfermeria	Femenino	18	Ninguna	51	1.63	Enfermería	9	Urbano	3
Estadistica.I	Masculino	19	Ninguna	74	1.75	Administración	8	Urbano	4
Estadistica.I	Femenino	25	Ninguna	76	1.67	Comercio.Ext	5	Urbano	3
Estadistica.II	Femenino	37	Ninguna	66	1.65	Ing.Industrial	6	Urbano	2
Bioestadistica.enfermeria	Masculino	21	Ninguna	49	1.68	Enfermería	8	Rural	1
Estadistica.I	Masculino	18	Ninguna	78	1.86	Ing.Industrial	6	Urbano	3
Estadistica.I	Masculino	21	Ninguna	73	1.74	Ing.Sistemas	7	Urbano	4
Estadistica.II	Femenino	32	Ninguna	55	1.5	Ing.Industrial	4	Rural	3
Estadistica.I	Masculino	28	Ninguna	73	1.73	Ing.Industrial	6	Urbano	2
Estadistica.II	Femenino	24	Ninguna	55	1.63	Ing.Industrial	4	Urbano	3
Bioestadistica.enfermeria	Masculino	22	Ninguna	95	1.77	Enfermería	7	Urbano	2
Estadistica.I	Masculino	19	Ninguna	65	1.84	Administración	7	Urbano	3
Quimica	Femenino	16	2.veces	54	1.6	Ing.Ambiental	7	Urbano	2
Estadistica.I	Femenino	36	Ninguna	64	1.6	Ing.Electronica	6	Rural	2
Estadistica.I	Masculino	19	Ninguna	62	1.79	Ing.Ambiental	5	Urbano	3
Estadistica.I	Femenino	18	Ninguna	56	1.6	Ing.Ambiental	6	Rural	1
Estadistica.I	Masculino	19	1.vez	68	1.74	Comercio.Ext	7	Rural	3
Estadistica.I	Femenino	19	Ninguna	N/A	N/A	Ing.Ambiental	5	Urbano	4
Estadistica.I	Femenino	20	Ninguna	65	1.7	Ing.Industrial	6	Rural	2
Estadistica.II	Masculino	21	Ninguna	96	1.8	Ing.Industrial	5	Urbano	4
Estadistica.I	Femenino	18	Ninguna	65	1.68	Contaduría	6	Urbano	3
Estadistica.I	Masculino	22	1.vez	69	1.78	Comercio.Ext	6	Urbano	4
Estadistica.I	Femenino	24	3.veces	52	1.57	Ing.Ambiental	6	Urbano	4
Bioestadistica.enfermeria	Masculino	21	Ninguna	49	1.68	Enfermería	8	Rural	1
Estadistica.I	Femenino	18	Ninguna	64	1.58	Contaduría	6	Urbano	2
Estadistica.I	Femenino	18	Ninguna	64	1.58	Contaduría	6	Urbano	2
Bioestadistica.enfermeria	Femenino	17	Ninguna	53	1.66	Enfermería	8	Urbano	3
Bioestadistica.enfermeria	Masculino	25	Ninguna	74	1.66	Enfermería	8	Urbano	3
Estadistica.II	Masculino	19	Ninguna	65	1.75	Ing.Industrial	6	Rural	3
Estadistica.II	Femenino	18	1.vez	71	1.75	Ing.Industrial	6	Urbano	3
Bioestadistica.enfermeria	Femenino	18	Ninguna	58	1.6	Enfermería	8	Urbano	3
Estadistica.II	Masculino	26	Ninguna	75	1.8	Ing.Industrial	4	Rural	2
Bioestadistica.enfermeria	Masculino	18	Ninguna	74	1.73	Enfermería	8	Urbano	3
Estadistica.I	Masculino	21	Ninguna	70	1.75	Ing.Ambiental	4	Rural	2
Estadistica.II	Masculino	N/A	2.veces	67	1.68	Ing.Industrial	4	Urbano	2
Estadistica.II	Femenino	35	1.vez	56	1.57	Ing.Industrial	6	Urbano	3
Bioestadistica.enfermeria	Masculino	17	1.vez	53	1.68	Enfermería	8	Rural	3
Estadistica.II	Masculino	35	Ninguna	84	1.85	Ing.Industrial	4	Urbano	4
Estadistica.I	Femenino	18	Ninguna	54	1.57	Ing.Industrial	7	Urbano	3
Bioestadistica.enfermeria	Femenino	25	Ninguna	64	1.6	Enfermería	9	Rural	2
Bioestadistica.enfermeria	Femenino	27	2.veces	56	1.64	Enfermería	6	Urbano	3
Bioestadistica.enfermeria	Masculino	31	Ninguna	67	1.62	Enfermería	6	Urbano	3
